timestamp,session_id,start_time,end_time,end_reason,rfid,energy_kwh,cost_eur,average_price_eur_kwh,solar_kwh,grid_kwh,solar_share_percent,duration_min
2026-06-09 17:24:06, 20260609-140403, 2026-06-09 14:04:03, 2026-06-09 17:24:06, Remote stop accepted, 08000000AS00000000000000, 12.281, 1.84, 0.1496, 0.014, 12.248, 0.1, 199
2026-06-10 06:51:32, 20260609-231527, 2026-06-09 23:15:27, 2026-06-10 06:51:32, Remote stop accepted, 08000000AS00000000000000, 23.896, 6.32, 0.2643, 0.002, 23.919, 0.0, 455
